Gene	L12023_WT_d0_1_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12087_miR-124KO_d0_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12024_WT_d0_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12088_miR-124KO_d0_3_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12025_WT_d0_3_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12089_miR-124KO_d0_4_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12026_WT_d0_4_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12091_miR-124KO_d0_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12027_WT_d0_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12092_miR-124KO_d0_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12028_WT_d0_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12093_miR-124KO_d0_8_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12029_WT_d0_8_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12094_miR-124KO_d1_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12030_WT_d1_1_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12095_miR-124KO_d1_3_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12031_WT_d1_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12096_miR-124KO_d1_4_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12032_WT_d1_3_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12097_miR-124KO_d1_5_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12033_WT_d1_5_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12098_miR-124KO_d1_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12034_WT_d1_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12099_miR-124KO_d1_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12035_WT_d1_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12100_miR-124KO_d1_8_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12036_WT_d1_8_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12101_miR-124KO_d2_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12037_WT_d2_1_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12102_miR-124KO_d2_3_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12038_WT_d2_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12103_miR-124KO_d2_4_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12039_WT_d2_3_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12104_miR-124KO_d2_5_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12040_WT_d2_5_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12105_miR-124KO_d2_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12041_WT_d2_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12106_miR-124KO_d2_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12042_WT_d2_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12107_miR-124KO_d2_8_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12043_WT_d2_8_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12108_miR-124KO_d3_1_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12044_WT_d3_1_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12109_miR-124KO_d3_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12045_WT_d3_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12110_miR-124KO_d3_4_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12046_WT_d3_4_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12111_miR-124KO_d3_5_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12047_WT_d3_5_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12112_miR-124KO_d3_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12048_WT_d3_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12113_miR-124KO_d3_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12049_WT_d3_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12114_miR-124KO_d3_8_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12050_WT_d3_8_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12115_miR-124KO_d4_1_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12051_WT_d4_1_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12116_miR-124KO_d4_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12052_WT_d4_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12117_miR-124KO_d4_3_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12053_WT_d4_3_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12118_miR-124KO_d4_4_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12054_WT_d4_4_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12119_miR-124KO_d4_5_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12084_WT_d4_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12120_miR-124KO_d4_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12085_WT_d4_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12121_miR-124KO_d4_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12086_WT_d4_8_R1.fastq.trimmed.segemehl..bam.rnacounter_Count
ATP6AP2	2727	1841	2180	1887	2112	2243	2152	1835	2129	1993	2125	2279	2045	2103	2162	2142	2243	2206	2016	2715	2144	2314	1946	2500	2239	2606	2103	2113	1901	2054	1771	1997	1868	2191	1849	2126	1661	1993	1600	2436	1920	1733	1557	1886	1413	1767	1327	2329	1074	2217	1288	1648	1469	2079	1443	1452	1200	1931	1236	2156	1212	2059	1246	1902	1366	2056	1406	2234	1355
ZSWIM7	818	727	779	612	629	687	742	600	663	673	740	674	682	658	728	797	761	776	757	966	782	733	612	742	812	855	781	765	716	771	668	737	788	758	674	855	580	693	520	867	692	746	431	784	428	745	464	855	506	922	530	693	579	725	546	567	580	708	547	702	502	829	510	735	651	855	588	857	562
AGL	714	472	615	521	554	523	566	471	607	515	551	640	675	539	415	448	518	639	407	776	544	652	503	631	514	720	514	576	425	602	445	524	542	657	476	678	477	478	435	634	484	681	778	791	786	758	619	786	590	838	614	710	438	792	568	512	441	865	387	970	391	1125	425	727	445	797	504	750	495
ENTPD1	321	304	373	296	325	313	327	271	342	314	355	342	328	355	308	297	384	318	368	470	373	326	349	352	465	444	430	354	340	356	335	388	323	417	339	359	281	376	307	412	329	332	136	355	159	300	211	432	140	362	201	381	224	384	192	268	195	352	192	360	185	377	181	367	200	395	241	347	229
NPAP1	23	11	24	8	7	8	13	10	16	7	33	12	16	12	13	16	7	9	9	18	10	8	10	15	12	14	8	3	13	9	5	5	0	0	6	7	1	1	6	3	2	4	6	5	1	0	5	0	5	1	2	14	9	1	7	4	13	7	14	8	12	10	13	3	9	6	5	2	13
CHD1	3808	2510	3649	2783	2984	3003	3006	2494	3085	2793	3185	2831	3136	3160	3440	3246	3160	3643	2865	3825	3411	3152	3049	3446	3432	3993	3405	3146	3178	3264	2939	3363	3142	3777	3296	3380	2716	3525	2679	4016	3059	2923	2387	3022	2019	2961	1987	3602	1915	3300	1974	2807	2735	2531	2449	1807	1809	2020	1832	2463	1924	2573	1748	2301	1677	2209	2262	2430	2005
FGF13	607	446	542	469	488	503	508	492	506	538	447	573	478	403	301	336	297	389	273	436	316	407	353	471	312	513	339	121	86	147	121	119	124	149	142	116	122	127	75	163	134	41	148	41	136	58	134	47	164	67	191	36	115	52	172	75	616	116	653	90	494	112	578	71	656	91	651	75	792
MOCS2	764	471	725	497	591	582	654	411	645	541	655	605	618	704	863	740	806	838	659	856	882	749	646	766	777	911	759	904	856	769	787	871	950	945	857	875	879	835	755	1049	816	652	576	705	504	717	551	922	620	875	661	682	738	850	731	467	660	616	624	756	575	855	607	651	661	692	656	782	712
DEPDC5	779	746	926	707	872	702	760	677	801	710	834	666	852	760	809	774	1013	777	1023	901	916	729	870	741	916	896	854	837	960	766	904	899	956	860	836	915	816	818	745	929	854	922	596	942	591	790	649	1094	528	986	683	961	848	656	723	664	788	787	770	961	787	1055	811	896	631	990	885	946	821
NIPA2	2774	2246	2932	2151	2500	2303	2477	1747	2516	2131	2446	2329	2514	2181	2650	2355	2809	2540	2639	2790	2860	2369	2541	2370	2839	2686	2606	2980	2937	2748	2928	2741	3280	3171	3027	2863	2808	2922	2607	3490	3035	3233	3364	3771	4087	3810	2981	4880	2781	4214	3209	3276	3520	3819	3012	3692	2314	4753	2486	5839	2770	5756	2366	5220	2648	5624	2975	5731	2500
TBL2	510	574	562	562	530	471	467	463	441	523	487	519	459	498	559	555	791	494	837	708	831	654	742	608	777	682	719	1167	696	954	751	809	832	977	737	940	729	988	602	1053	683	710	258	732	250	708	325	918	326	954	388	829	503	787	436	432	429	560	425	697	458	694	441	584	503	700	520	598	464
ANAPC1	6591	5083	7051	4947	5981	5283	5732	4577	5601	4991	6014	4845	6085	4379	4554	4526	4745	4660	4300	5381	4536	4354	4037	4749	4767	5546	4180	2773	2974	2882	2995	2903	2948	3062	2812	2972	2622	3098	2688	3567	2818	2314	1621	2336	1457	2348	1512	2984	1238	2934	1516	2396	2045	1901	1659	1702	1340	1965	1217	2284	1385	2233	1218	1980	1151	2192	1592	2428	1397
ABCC9	5	0	7	2	1	0	0	5	1	3	2	3	1	17	58	19	30	9	28	7	45	16	23	11	56	15	43	234	728	231	681	227	617	221	578	231	484	252	528	276	673	926	1099	1090	1125	887	1031	1642	906	1163	1027	1057	1747	957	1180	999	449	1254	473	1373	826	1357	543	1380	708	1376	1048	1802	550
TIMM8A	672	567	805	590	556	605	578	485	618	570	648	574	639	444	601	601	674	566	563	642	647	618	513	538	580	629	635	491	479	518	490	441	450	474	438	425	401	450	394	478	413	375	183	364	201	313	216	425	196	436	233	329	254	347	221	175	183	256	193	279	208	289	222	314	228	310	214	354	241
NDUFS1	6400	4616	6613	4571	5410	4921	5378	4153	5525	4690	5384	4791	5610	4810	5894	5059	5995	5248	5021	5931	5957	5431	5260	5433	5913	6203	5880	5649	6329	5630	6213	5581	6788	6051	6109	5733	5687	5435	5525	6732	6058	5395	5653	6228	5979	5766	5217	7428	4658	7047	5395	5973	6056	6090	5180	5032	4893	6820	4612	7162	4925	7390	4671	6597	4864	7042	5631	7637	5169
POLR1A	3524	4093	5246	4182	4406	3596	3598	2923	4184	3358	4399	3300	4128	3482	4256	3909	4387	3884	4542	4400	4360	3251	3887	3612	4677	4692	4232	3162	4214	2955	4136	3291	4090	3475	3819	3405	3949	3249	3691	3636	4337	3185	3199	3625	3242	3380	3320	4550	3417	4259	3485	3287	4709	2696	3788	2865	3469	3314	3420	3886	3697	3742	3373	3207	2920	3513	4016	3729	3740
PUF60	3130	3590	4157	3673	3529	3187	3367	2509	3807	2680	3419	2985	3539	2738	2527	2818	3132	2771	3292	3646	3224	2627	2552	2543	3003	3294	2704	3117	2914	2698	2683	2849	3100	3104	2963	2744	2760	2642	2460	3105	2803	2875	2951	3639	3938	3611	2920	4772	3281	4515	3294	3406	3438	3648	3175	3816	2701	4561	2927	5656	3067	5789	2793	4952	2892	5906	3033	5280	2814
