Gene,0,2,3,5,10,15,25
MECP2,7.395343689797462,7.70749918549804,6.186818079105368,6.578422424876612,7.282903193568682,7.7167983866311864,7.577065329855871
AAAS,8.092641362961151,7.828976458387585,6.9038464447078844,6.933245162817616,7.121428147044071,7.497308843294206,7.137424901665977
AARS1,9.19768514374372,9.145036719287646,7.3829534417948315,7.638396874360548,7.712208294253989,8.029333673777778,7.894212418088207
AASS,9.772193830948279,9.837946455414514,6.79040147771824,6.861886852318376,7.45542672708957,7.89985046290553,7.136167489448998
ABCA2,6.654773921161395,7.209753705409465,5.032656815851505,6.112073360888523,6.915774138014325,7.544570245446011,7.4780111448575415
ABCA4,3.6568503564904464,4.221181683539648,3.3181936341405573,2.5907982082640224,2.616755548678494,3.1561590165096716,6.131311271449647
ABCA7,6.870753950817269,7.151609298257778,4.859732214774681,4.9017144845695855,5.537290123220648,6.339997465467716,6.22188330712631
ABCC8,4.727669639297259,4.809468554469034,2.7697724636079113,2.958443659886357,4.596222881286131,5.065564967916012,4.67654984433344
ABCC9,0.21138441726356788,0.6931471805599454,0.0,0.0,3.400169167180455,3.036019979273129,3.148183881099193
ABCD1,5.795036324392877,5.755509489476598,4.13301024273132,4.361732114362651,5.060586686459463,5.66475247644056,5.1565923455778755
ABHD16A,6.2148383986948375,5.892918151591635,5.374387579301926,5.270719694426699,6.034914007714618,6.616277302168646,6.189517863785295
ABHD5,6.254311429112098,5.877215204704081,5.051452267637042,4.428299628388588,4.881311194019813,5.772510993738276,5.612841316948291
ACADS,5.731980701213297,5.119450714013843,3.4954048942737264,4.107797451112964,5.495692638390192,5.400349975156185,4.746932955751658
ACADSB,7.384068613449415,7.358378945685109,4.9354741670719315,4.939982253485922,5.502484684896754,6.184495242200844,6.023777010908739
ACADVL,8.414605950020057,8.322913534294516,6.784522496917878,7.111688910632051,7.5914597986539,8.032574280138856,7.817069614307107
