ZEB2
DHDDS,0.8873884735953701
KCNB1,0.7612732095490716
TEFM,0.6695603247327385
SALL4,0.6695603247327385
AHI1,0.4995579133510168
CCND2,0.48613455510007236
GLS,0.37030785306647374
RIC1,0.36636926292098704
SLC46A1,0.318865043002974
MPLKIP,0.318865043002974
L1CAM,0.31227393296358813
RAC1,0.30311068242102723
RAB3GAP1,0.2949923639578812
RPL8,0.2694317177075798
ADAM22,0.2607507435093642
AP3B2,0.2560083594566353
RPL35,0.2413793103448276
TMEM240,0.23205530102081826
PHGDH,0.21983763363073708
RRAS,0.21927497789566755
MVK,0.21364842054497227
CC2D1A,0.212442729684109
MANF,0.21139779760469415
PUS1,0.2041636524395145
CPT2,0.20327947914154812
APP,0.20327947914154812
KIF5A,0.19813519813519814
HIVEP2,0.18865043002974038
SPOP,0.18430994293063258
PIGW,0.18181818181818182
ITGB6,0.17482517482517482
CHD5,0.17402138091793265
TUBB3,0.173056828229242
ZNF423,0.1725745518848967
LAS1L,0.1691182380837553
KIAA0753,0.16903785869303112
ZSWIM7,0.166787235752753
AGL,0.1659834418455108
CLCN2,0.1629290249979905
BRWD3,0.15641829434932883
ASL,0.1558556386142593
LEPR,0.1523189454223937
SOX3,0.14958604613777027
TBL2,0.1487822522305281
CTNNB1,0.14862149344907966
STT3B,0.14709428502531952
RPS10,0.1462101117273531
MOCS2,0.14492404147576562
ANKRD17,0.14412024756852343
DPH2,0.14412024756852343
GATM,0.14412024756852343
YIF1B,0.1430753154891086
TPR,0.14299493609838437
PSMB1,0.1413873482839
GBE1,0.14018165742303673
LONP1,0.14018165742303673
VWA3B,0.13937786351579454
POMK,0.13937786351579454
CEP135,0.13728799935696487
TKT,0.13704686118479223
CHRNB2,0.1356804115424805
QRICH1,0.134394341290893
RBBP8,0.134394341290893
GALNS,0.13383168555582348
ALDH3A2,0.13359054738365084
ERI1,0.13359054738365084
B3GALNT2,0.1334297886022024
KCTD7,0.13198295956916647
VPS50,0.13182220078771803
NSUN3,0.13150068322482117
POMT1,0.1307772687083032
NOTCH3,0.12933043967526725
DHTKD1,0.1273209549071618
BAP1,0.12659754039064383
DPYD,0.12563298770195322
EOGT,0.1250703319668837
HPD,0.12418615866891729
OTUD5,0.1233823647616751
CHAT,0.1233823647616751
TTI1,0.12241781207298448
COLGALT1,0.12121212121212122
PGM3,0.12040832730487903
ARNT2,0.11992605096053371
CLCNKB,0.1198456715698095
CRLS1,0.1184792219274978
GPC6,0.11638935776866811
GRM1,0.11550518447070171
SEMA4A,0.11542480507997749
BCAP31,0.11510328751708063
ADCY3,0.11494252873563218
SYNGAP1,0.11421911421911422
FOXL2,0.11389759665621735
NDUFA8,0.11341532031187204
TMCO1,0.11317418213969938
ARHGAP31,0.1123703882324572
PUS3,0.11180773249738767
RP9,0.11140583554376658
ASAH1,0.11140583554376658
CLCN3,0.11084317980869705
DCDC2,0.1106020416365244
SPR,0.1106020416365244
VPS4A,0.10987862712000643
