Gene,Coassociation Frequency,New
PEX2,0.952428182425,0
TRIM50,0.952175716372,1
ATP6V1A,0.952130633149,0
MTND6P4,0.952121616504,1
RPS15AP24,0.952040466702,1
ARHGEF10L,0.951995383478,1
PABPC5,0.951932266965,1
RP11-507K2.6,0.951896200386,1
BBOX1,0.95176996736,1
RP11-159H22.2,0.951625701044,1
RANBP9,0.951463401439,1
RP11-279O9.4,0.951436351505,1
RP1-228P16.1,0.951391268281,1
SNX11,0.951364218347,1
PTTG1,0.951292085189,1
LINC01422,0.951030602492,1
RP11-96D1.8,0.950904369466,1
RP3-507I15.2,0.950489603809,1
RPL5P34,0.950246154401,1
TUBB4B,0.950201071177,0
ANKS3,0.950174021243,1
MECOM,0.950155987954,0
LA16c-361A3.3,0.950137954664,1
THAP5P1,0.95012893802,1
RP11-717A5.1,0.95011090473,1
NRIP1,0.949984671704,1
RP11-127B20.3,0.949867455323,1
CTD-3234P18.6,0.949732205652,1
PDCD6IP,0.949696139073,0
ATP5G1P7,0.949678105783,1
EHD4,0.949425639731,1
ABHD11,0.949407606441,1
RPF1,0.94929039006,1
AP001092.4,0.949182190323,1
ENHO,0.949110057166,1
RPL12P47,0.949064973942,1
RP11-791G16.2,0.948938740916,1
RP4-751H13.7,0.948884641047,1
ANO9,0.948758408021,1
RNY4P17,0.948722341442,1
RP11-1216L17.1,0.948659224929,1
TBCEL,0.94862315835,1
MRVI1,0.948587091771,1
RP11-641D5.1,0.948542008548,1
RN7SL817P,0.948406758877,1
RPS6KA4,0.948235442627,1
FIZ1,0.948172326114,1
DLG3-AS1,0.947856743549,1
RPSAP76,0.947811660325,1
CTD-2043I16.1,0.947784610391,1
SNHG23,0.94763132743,1
ZNF816,0.947550177628,1
CICP8,0.947523127694,1
ENAM,0.947487061115,1
RP11-504G3.4,0.947378861378,1
FBRSL1,0.947342794799,1
RP11-380D23.1,0.947333778154,1
RP11-298A10.1,0.947252628352,1
RP3-400B16.1,0.947126395326,1
GS1-309P15.4,0.946919012497,1
RP11-291I6.2,0.94650424684,1
SLC35E1,0.946350963879,1
RP11-54O7.18,0.946341947235,1
TMEM182,0.94633293059,1
RP11-403B2.7,0.946296864011,1
ZNF556,0.946287847366,1
SLC35B4,0.945972264801,1
AC007249.3,0.945963248156,1
CCDC43,0.945909148288,1
DDX11L1,0.94551241592,1
PIGO,0.945323066381,0
AC006539.2,0.945241916578,1
TTYH2,0.945196833354,1
RP1-197B17.7,0.94516978342,1
RPL23AP4,0.94499846717,1
CTD-3236F5.1,0.944881250789,1
SLC22A13,0.944818134276,1
AC097523.1,0.944809117631,1
RPL31P50,0.944782067697,1
MIR6792,0.944764034408,1
SEMA4D,0.944376318684,1
RPL4,0.9441779525,1
FAR1,0.944168935856,0
TEFM,0.944114835987,0
RPS4XP2,0.944069752764,1
TMEM132D,0.943925486448,1
RHOC,0.943898436514,1
CTC-513N18.7,0.94387138658,1
ZNF519,0.943790236777,1
CTD-2562J17.6,0.943654987106,1
RP11-673E11.2,0.943546787369,1
